brokerage,company_number,company_name,CompanyName, CompanyNumber,RegAddress.PostTown,RegAddress.County,RegAddress.Country,RegAddress.PostCode,CompanyCategory,CompanyStatus,CountryOfOrigin,SICCode.SicText_1,SICCode.SicText_2,SICCode.SicText_3,SICCode.SicText_4
Cheviot Insurance Services,09303679,CHEVIOT INSURANCE SERVICES LTD.,CHEVIOT INSURANCE SERVICES LTD.,09303679,NEWCASTLE UPON TYNE,,,NE6 2HL,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
John Morgan Partnership Ltd,06644688,MORGAN BETTS & CO INSURANCE BROKERS LTD,JOHN MORGAN PARTNERSHIP LIMITED,06644688,CHELTENHAM,GLOUCESTERSHIRE,ENGLAND,GL50 1QB,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Aston Lark Limited (Colchester),02831010,ASTON INSURANCE BROKERS LIMITED,ASTON LARK LIMITED,02831010,LONDON,,UNITED KINGDOM,EC3A 5AF,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
PIB Risk Services Ltd T/as PIB Insurance Brokers (Bristol),02682789,PIB RISK SERVICES LIMITED,PIB RISK SERVICES LIMITED,02682789,RETFORD,NOTTINGHAMSHIRE,,DN22 7SW,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
PIB Risk Services Ltd T/As PIB Insurance Brokers (Leicester),02682789,PIB RISK SERVICES LIMITED,PIB RISK SERVICES LIMITED,02682789,RETFORD,NOTTINGHAMSHIRE,,DN22 7SW,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
PIB Risk Services Ltd T/As PIB Insurance Brokers (Leicester) CANX,02682789,PIB RISK SERVICES LIMITED,PIB RISK SERVICES LIMITED,02682789,RETFORD,NOTTINGHAMSHIRE,,DN22 7SW,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Momentum Broker Solutions Ltd,07267159,MOMENTUM BROKER SOLUTIONS LTD,MOMENTUM BROKER SOLUTIONS LTD,07267159,LEICESTER,,,LE19 4XT,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
Arthur J Gallagher (UK) Ltd (Portmore IB Ltd),01193013,ARTHUR J. GALLAGHER INSURANCE BROKERS LIMITED,ARTHUR J. GALLAGHER (UK) LIMITED,01193013,LONDON,,,EC4N 8AW,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
JPM Insurance Management Ltd trading as BEAM,03867939,JPM (INSURANCE MANAGEMENT) LIMITED,JPM (INSURANCE MANAGEMENT) LIMITED,03867939,BRIERLEY HILL,WEST MIDLANDS,ENGLAND,DY5 1LN,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
LRG Financial Solutions Ltd T/a LRG Insurance,04744633,LRG FINANCIAL SOLUTIONS LIMITED,LRG FINANCIAL SOLUTIONS LIMITED,04744633,HERTFORDSHIRE,,,WD3 1DD,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
Blythin & Brown Insurance Brokers Ltd,01073357,BLYTHIN AND BROWN (INSURANCE BROKERS) LIMITED,BLYTHIN AND BROWN (INSURANCE BROKERS) LIMITED,01073357,LOUGHBOROUGH,LEICESTERSHIRE,,LE12 7TZ,Private Limited Company,Active,United Kingdom,82990 - Other business support service activities n.e.c.,,,
Berns Brett Ltd,00910250,H. BERNSTEIN INSURANCE BROKERS LIMITED,BERNS BRETT LIMITED,00910250,SOUTH WOODFORD,LONDON,,E18 2QF,Private Limited Company,Active,United Kingdom,65110 - Life insurance,65120 - Non-life insurance,65300 - Pension funding,
PIB Risk Services Ltd T/as PIB Insurance Brokers (London),02682789,PIB RISK SERVICES LIMITED,PIB RISK SERVICES LIMITED,02682789,RETFORD,NOTTINGHAMSHIRE,,DN22 7SW,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Vizion Insurance Brokers Limited (Hedron Network),10185224,VIZION INSURANCE BROKERS LIMITED,VIZION INSURANCE BROKERS LIMITED,10185224,"GODALMING,",SURREY,UNITED KINGDOM,GU7 1LQ,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
Arthur J Gallagher (UK) Ltd (Hughes Plane Ltd),01193013,ARTHUR J. GALLAGHER INSURANCE BROKERS LIMITED,ARTHUR J. GALLAGHER (UK) LIMITED,01193013,LONDON,,,EC4N 8AW,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Hallett Independent Limited (Private Client),04407168,SKB INDEPENDENT INSURANCE BROKERS LTD,HALLETT INDEPENDENT LIMITED,04407168,LYMINGTON,HAMPSHIRE,,SO41 3AS,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
Tysers (Hitchin – Private Client),02957627,TYSERS INSURANCE BROKERS LIMITED,TYSERS INSURANCE BROKERS LIMITED,02957627,LONDON,,UNITED KINGDOM,EC3M 4BS,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
Tysers (London – Private Client),02957627,TYSERS INSURANCE BROKERS LIMITED,TYSERS INSURANCE BROKERS LIMITED,02957627,LONDON,,UNITED KINGDOM,EC3M 4BS,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
Everett Mead Limited,07689264,MEADONS INSURANCE BROKERS LIMITED,EVERETT MEAD LIMITED,07689264,STRATFORD-UPON-AVON,,ENGLAND,CV37 9NP,Private Limited Company,Active,United Kingdom,65110 - Life insurance,65120 - Non-life insurance,,
GRP Retail Limited,09850559,LOCKTON INSURANCE BROKERS (IRELAND) LIMITED UK BRANCH,GRP RETAIL LIMITED,09850559,LONDON,,ENGLAND,EC3R 7NE,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
Clarke Williams Ltd,10317065,CLARKE DOVE (INSURANCE BROKERS) LIMITED,CLARKE WILLIAMS LTD,10317065,TONBRIDGE,,ENGLAND,TN9 1FU,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
Giles Gowers Insurance Associates,04378111,GILES GOWERS PROPERTY DEVELOPMENT LIMITED,GILES GOWERS PROPERTY DEVELOPMENT LIMITED,04378111,HEYBRIDGE MALDON,ESSEX,,CM9 4ER,Private Limited Company,Active,United Kingdom,96090 - Other service activities n.e.c.,,,
Porterhouse Brokers LLP,OC354547,PORTERHOUSE BROKERS LLP,PORTERHOUSE BROKERS LLP,OC354547,ST. NEOTS,,ENGLAND,PE19 2BU,Limited Liability Partnership,Active,United Kingdom,None Supplied,,,
Towergate (Cardiff),04043759,ARDONAGH ADVISORY HOLDINGS LIMITED,ADVISORY INSURANCE BROKERS LIMITED,04043759,LONDON,,UNITED KINGDOM,EC3R 7PD,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,65202 - Non-life reinsurance,66220 - Activities of insurance agents and brokers,
Higos Thatch Scheme,02667978,HIGOS INSURANCE SERVICES LIMITED,HIGOS INSURANCE SERVICES LIMITED,02667978,LONDON,,ENGLAND,EC3R 7NE,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Hartinsure Ltd t/a Hart Insurance Brokers,SC631286,HARTINSURE LIMITED,HARTINSURE LIMITED,SC631286,HELENSBURGH,ARGYLL AND BUTE,SCOTLAND,G84 8AS,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
Marlow Gardner & Cooke Ltd (Brokerbility),00793637,MARLOW GARDNER AND COOKE LIMITED,MARLOW GARDNER AND COOKE LIMITED,00793637,PETERBOROUGH,,,PE4 5HQ,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
Arthur J Gallagher (UK) Ltd 7000064 UK (Hiscox Underwriting Limited),01193013,ARTHUR J. GALLAGHER INSURANCE BROKERS LIMITED,ARTHUR J. GALLAGHER (UK) LIMITED,01193013,LONDON,,,EC4N 8AW,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Nsure Limited (Hedron Network),03673499,LOCKTON INSURANCE BROKERS (IRELAND) LIMITED UK BRANCH,NSURE LIMITED,03673499,WORTHING,WEST SUSSEX,,BN11 3JX,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
One Broker (Norwich) Ltd (Willis Network),07131737,CENTURY INSURANCE BROKER CO LTD (REPRESENTATIVE OFFICE),ONE BROKER (NORWICH) LTD,07131737,NORWICH,,ENGLAND,NR4 6DJ,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
ACM Broking Ltd,03841776,CENTURY INSURANCE BROKER CO LTD (REPRESENTATIVE OFFICE),ACM BROKING LIMITED,03841776,ST. ALBANS,,ENGLAND,AL2 1QL,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
Berkeley Alexander (Specialist),LP004724,BERKELEY ALEXANDER INSURANCE SERVICES,BERKELEY ALEXANDER INSURANCE SERVICES,LP004724,EAST SUSSEX,,,BN7 2SD,Limited Partnership,Active,United Kingdom,None Supplied,,,
Jaggi & Company Ltd,03194815,CENTURY INSURANCE BROKER CO LTD (REPRESENTATIVE OFFICE),JAGGI & COMPANY LIMITED,03194815,ISLEWORTH,MIDDX,,TW7 4DA,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Weald Insurance Brokers Ltd (Premier),00957953,WEALD INSURANCE BROKERS LIMITED,WEALD INSURANCE BROKERS LIMITED,00957953,EAST GRINSTEAD,WEST SUSSEX,UNITED KINGDOM,RH19 1LB,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
OLD Alan & Thomas Insurance Brokers Limited (Open Market),04514651,ALAN & THOMAS INSURANCE BROKERS LIMITED,ALAN & THOMAS INSURANCE BROKERS LIMITED,04514651,LONDON,,ENGLAND,EC3R 7NE,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Towergate (Hemel),04043759,ARDONAGH ADVISORY HOLDINGS LIMITED,ADVISORY INSURANCE BROKERS LIMITED,04043759,LONDON,,UNITED KINGDOM,EC3R 7PD,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,65202 - Non-life reinsurance,66220 - Activities of insurance agents and brokers,
Towergate (Private Clients - Hiscox Colchester),04043759,HISCOX INSURANCE COMPANY LIMITED,ADVISORY INSURANCE BROKERS LIMITED,04043759,LONDON,,UNITED KINGDOM,EC3R 7PD,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,65202 - Non-life reinsurance,66220 - Activities of insurance agents and brokers,
Hayes Parsons Ltd,00816448,CENTURY INSURANCE BROKER CO LTD (REPRESENTATIVE OFFICE),HAYES PARSONS LIMITED,00816448,BRISTOL,,ENGLAND,BS1 4XE,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
Robison & Co (Hedron Network),04663937,A.H. BELL & CO. (INSURANCE BROKERS) LIMITED,ROBISON & CO LIMITED,04663937,PETERSFIELD,HAMPSHIRE,ENGLAND,GU32 3QG,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
CCVRS t/a Towergate (Jersey),14919136,ARDONAGH ADVISORY HOLDINGS LIMITED,,,,,,,,,,,,,
Centor Insurance & Risk Management Limited,01151611,CENTOR INSURANCE & RISK MANAGEMENT LIMITED,CENTOR INSURANCE & RISK MANAGEMENT LIMITED,01151611,LONDON,,,EC2M 2EF,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Marsh Brokers Ltd Ta Private Clients,03028313,EAST KENT MOBILITY LTD,MARSH & COMPANY INSURANCE BROKERS LIMITED,03028313,LEICESTER,,,LE1 6XF,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
MPW Insurance Broker Ltd (Brokerbility),01978590,MPW INSURANCE BROKERS LIMITED,MPW INSURANCE BROKERS LIMITED,01978590,LONDON,,ENGLAND,EC3R 5AA,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Willis Towers Watson,FC035970,WILLIS TOWERS WATSON INSURANCES (IRELAND) LIMITED,WILLIS TOWERS WATSON,FC035970,LIEGE,4020,BELGIUM,,Other company type,Active,BELGIUM,None Supplied,,,
R A Rossborough (Insurance Brokers) Ltd,BR006238,ROSSBOROUGH INSURANCE SERVICES LIMITED,,,,,,,,,,,,,
Towergate (Sevenoaks),04043759,ARDONAGH ADVISORY HOLDINGS LIMITED,ADVISORY INSURANCE BROKERS LIMITED,04043759,LONDON,,UNITED KINGDOM,EC3R 7PD,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,65202 - Non-life reinsurance,66220 - Activities of insurance agents and brokers,
Berns Brett (Maidenhead Region),00910250,H. BERNSTEIN INSURANCE BROKERS LIMITED,BERNS BRETT LIMITED,00910250,SOUTH WOODFORD,LONDON,,E18 2QF,Private Limited Company,Active,United Kingdom,65110 - Life insurance,65120 - Non-life insurance,65300 - Pension funding,
OLD BHK Insurance Services Ltd,05869942,BHK INSURANCE SERVICES LIMITED,BHK INSURANCE SERVICES LIMITED,05869942,LONDON,,ENGLAND,EC3R 7NE,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
J Bennett & Son (Insurance Brokers) Ltd,01195084,J. BENNETT & SON (INSURANCE BROKERS) LIMITED,J. BENNETT & SON (INSURANCE BROKERS) LIMITED,01195084,HIGH WYCOMBE,BUCKS.,,HP14 3BE,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Knighthood Corporate Assurances Services plc (Premier),01194084,KNIGHTHOOD CORPORATE ASSURANCE SERVICES LIMITED,KNIGHTHOOD CORPORATE ASSURANCE SERVICES LIMITED,01194084,EAST GRINSTEAD,WEST SUSSEX,,RH19 1LB,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Brownhill Insurance Group Limited (Willis Network),01488763,BROWNHILL INSURANCE GROUP LIMITED,BROWNHILL INSURANCE GROUP LIMITED,01488763,BROMLEY,KENT,,BR1 1QQ,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
Bryan Baines t/as Coversure.co.uk,05387271,BRYANSTON INSURANCE COMPANY LIMITED,COVERSURE LIMITED,05387271,DUDLEY,WEST MIDLANDS,ENGLAND,DY2 8PR,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Butterworth Spengler Insurance Group,12491285,BUTTERWORTH SPENGLER GROUP LIMITED,BUTTERWORTH SPENGLER GROUP LIMITED,12491285,LEEDS,,ENGLAND,LS20 9LT,Private Limited Company,Active,United Kingdom,64209 - Activities of other holding companies n.e.c.,,,
Tysers (Manchester – Private Client),02957627,TYSERS INSURANCE BROKERS LIMITED,TYSERS INSURANCE BROKERS LIMITED,02957627,LONDON,,UNITED KINGDOM,EC3M 4BS,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
Barts Insurance Brokers Limited (Hedron Network),01448786,BARTS INSURANCE BROKERS LIMITED,BARTS INSURANCE BROKERS LIMITED,01448786,LONDON,,,W1G 8TB,Private Limited Company,Active,United Kingdom,65110 - Life insurance,,,
DPi Bros Ltd t/a DPI Insurance (Hedron Network),08670495,DPI BROS. LIMITED,DPI BROS. LIMITED,08670495,BURY,,,BL9 0ST,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
Towergate (Bury St Edmunds),04043759,TOWERGATE STAFFORD KNIGHT INSURANCE SERVICES LIMITED,ADVISORY INSURANCE BROKERS LIMITED,04043759,LONDON,,UNITED KINGDOM,EC3R 7PD,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,65202 - Non-life reinsurance,66220 - Activities of insurance agents and brokers,
County Insurance Consultants Ltd t/as IDouglas Insurance Brokers Ltd,08016238,COUNTY INSURANCE BROKERS LIMITED,COUNTY INSURANCE BROKERS LIMITED,08016238,WORTHING,SUSSEX,,BN11 1HU,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
Ryan Insurance Group Limited,01217489,RYAN INSURANCE GROUP LIMITED,RYAN INSURANCE GROUP LIMITED,01217489,DORKING,SURREY,UNITED KINGDOM,RH4 2HF,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
Prospero Insurance Brokers Ltd (Premier),SC556535,PROSPERO INSURANCE BROKERS LTD,PROSPERO INSURANCE BROKERS LTD,SC556535,DUNBAR,,SCOTLAND,EH42 1EL,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
County Insurance Consultants Ltd trading as CJN Insurance Services,04787941,CJN INSURANCE SERVICES LIMITED,COUNTY INSURANCE CONSULTANTS LIMITED,04787941,LONDON,,ENGLAND,EC3R 7NE,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Provenance Insurance Brokers,11131702,AAA INSURANCE & REINSURANCE BROKERS LIMITED,PROVENANCE IB LTD,11131702,TAUNTON,,ENGLAND,TA2 6AA,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
OLD Alan & Thomas Insurance Brokers Basingstoke Ltd,04217414,ALAN & THOMAS INSURANCE BROKERS BASINGSTOKE LTD,,,,,,,,,,,,,
Bernard Saxon Insurance Services (Premier) t/a BSIS,01823860,BERNARD SAXON GENERAL INSURANCE SERVICES LIMITED,BERNARD SAXON GENERAL INSURANCE SERVICES LIMITED,01823860,NEWCASTLE UPON TYNE,,ENGLAND,NE2 2DJ,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
Lycett Browne-Swinburne (Berwick St Leonard)(Willis Nework),00706042,BRUCE STEVENSON INSURANCE BROKERS LIMITED,"LYCETT, BROWNE-SWINBURNE & DOUGLASS LIMITED",00706042,,,,NE1 1PP,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
J & V Risk Solutions Ltd (Hedron Network),09472980,INTERNATIONAL RISK SOLUTIONS INSURANCE BROKER (EUROPE) LTD UK BRANCH,J & V RISK SOLUTIONS LTD,09472980,CARLISLE,,ENGLAND,CA3 0LJ,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
Jensten Insurance Brokers (Ripley),08284692,JENSTEN INSURANCE BROKERS LIMITED,JENSTEN INSURANCE BROKERS LIMITED,08284692,LONDON,,ENGLAND,EC3A 7BB,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
Ascend Broking Group Limited (Cleo),10468557,ASCEND BROKING GROUP LIMITED,ASCEND BROKING GROUP LIMITED,10468557,CHELMSFORD,ESSEX,ENGLAND,CM2 5LB,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
G & C Insurance Services Limited t/a We'reSure,NI646943,CONGREGATIONAL & GENERAL INSURANCE PUBLIC LIMITED COMPANY (THE),G&C INSURANCE SERVICES LIMITED,NI646943,DUNDONALD,,NORTHERN IRELAND,BT16 1QQ,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Packetts,00371448,PACKETTS HOLDINGS LIMITED,SYDNEY PACKETT & SONS LIMITED,00371448,SHIPLEY,WEST YORKSHIRE,,BD17 7DB,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Insurance Services (Surrey) Ltd (Premier),01142788,IF P&C INSURANCE LTD (PUBL),INSURANCE SERVICES (SURREY) LIMITED,01142788,GUILDFORD,SURREY,ENGLAND,GU3 1LR,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
Eggar Forrester Insurance Limited,04908667,EGGAR FORRESTER INSURANCE LIMITED,EGGAR FORRESTER INSURANCE LIMITED,04908667,LONDON,,ENGLAND,EC2M 1QS,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Bullerwell & Co Ltd,04396514,CENTURY INSURANCE BROKER CO LTD (REPRESENTATIVE OFFICE),BULLERWELL & CO LIMITED,04396514,BEDFORDSHIRE,,,MK40 3JY,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
PIB Risk Services Ltd T/as PIB Insurance Brokers (York),02682789,PIB RISK SERVICES LIMITED,PIB RISK SERVICES LIMITED,02682789,RETFORD,NOTTINGHAMSHIRE,,DN22 7SW,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Clear Insurance Management Limited,03712209,CLEAR INSURANCE MANAGEMENT LIMITED,CLEAR INSURANCE MANAGEMENT LIMITED,03712209,LONDON,,,EC3R 5AA,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
Citygate Insurance Services Ltd (Advantage),NI065299,CITYGATE INSURANCE SERVICES LIMITED,CITYGATE INSURANCE SERVICES LIMITED,NI065299,BELFAST,,NORTHERN IRELAND,BT2 8BG,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Protect Commercial Insurance Solutions Ltd,08365670,PROTECT COMMERCIAL INSURANCE SOLUTIONS LIMITED,PROTECT COMMERCIAL INSURANCE SOLUTIONS LIMITED,08365670,CARDIFF,CARDIFF,WALES,CF10 5LH,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
D B Wood Ltd,04312250,CENTURY INSURANCE BROKER CO LTD (REPRESENTATIVE OFFICE),D B WOOD LIMITED,04312250,NEWARK,NOTTINGHAMSHIRE,UNITED KINGDOM,NG24 1XG,Private Limited Company,Active,United Kingdom,64999 - Financial intermediation not elsewhere classified,,,
Arthur J Gallagher (High Wycombe),01193013,ARTHUR J. GALLAGHER INSURANCE BROKERS LIMITED,ARTHUR J. GALLAGHER (UK) LIMITED,01193013,LONDON,,,EC4N 8AW,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Town and Country Financial Services (UK) Ltd (Advantage),07412443,TOWN & COUNTRY INSURANCE BROKERS LTD,TOWN & COUNTRY INSURANCE BROKERS LTD,07412443,HUDDERSFIELD,WEST YORKSHIRE,,HD1 5ND,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
Tyser & Co Ltd,02957627,TYSERS INSURANCE BROKERS LIMITED,TYSERS INSURANCE BROKERS LIMITED,02957627,LONDON,,UNITED KINGDOM,EC3M 4BS,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
Callaway and Sons Insurance Consultants Ltd (Hedron Network),03914955,CALLAWAY & SONS INSURANCE CONSULTANTS LIMITED,CALLAWAY & SONS INSURANCE CONSULTANTS LIMITED,03914955,ESSEX,,,CM2 0SE,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Arthur J Gallagher (UK) Ltd (Stackhouse London),01193013,ARTHUR J. GALLAGHER INSURANCE BROKERS LIMITED,ARTHUR J. GALLAGHER (UK) LIMITED,01193013,LONDON,,,EC4N 8AW,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Finch Commercial Insurance Brokers t/a Miller & Co (Insurance Brokers) Ltd CANX,04251300,FINCH COMMERCIAL INSURANCE BROKERS LTD,FINCH COMMERCIAL INSURANCE BROKERS LTD,04251300,READING,BERKSHIRE,UNITED KINGDOM,RG5 3JP,Private Limited Company,Active,United Kingdom,82990 - Other business support service activities n.e.c.,,,
Specialist Individual Insurance Broking Ltd,11442419,SPECIALIST INDIVIDUAL BROKING LTD,SPECIALIST INDIVIDUAL BROKING LTD,11442419,MEDIACITYUK,,ENGLAND,M50 2AB,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
Towergate (Glasgow),04043759,ARDONAGH ADVISORY HOLDINGS LIMITED,ADVISORY INSURANCE BROKERS LIMITED,04043759,LONDON,,UNITED KINGDOM,EC3R 7PD,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,65202 - Non-life reinsurance,66220 - Activities of insurance agents and brokers,
Miles Smith Limited,00951095,MILESTONE INTERNATIONAL SERVICES LLP,MILES SMITH LIMITED,00951095,LONDON,,ENGLAND,EC3N 2LB,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,65202 - Non-life reinsurance,,
Broadway Broking Group Limited,12439816,BROADWAY BROKING GROUP LIMITED,BROADWAY BROKING GROUP LIMITED,12439816,MANCHESTER,,UNITED KINGDOM,M15 4PN,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
Tysers (Colchester - Private Client),02957627,TYSERS INSURANCE BROKERS LIMITED,TYSERS INSURANCE BROKERS LIMITED,02957627,LONDON,,UNITED KINGDOM,EC3M 4BS,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
County Insurance Services Limited,08411634,COUNTY INSURANCE SERVICES LIMITED,COUNTY INSURANCE SERVICES LIMITED,08411634,KIDLINGTON,OXFORDSHIRE,,OX5 1LQ,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
Prescott Jones Ltd,04106378,CENTURY INSURANCE BROKER CO LTD (REPRESENTATIVE OFFICE),PRESCOTT JONES LTD,04106378,LONDON,,ENGLAND,EC3R 7NE,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Ashbourne Insurance Services Ltd (Hedron Network),04235081,ASHBOURNE INSURANCE SERVICES LIMITED,ASHBOURNE INSURANCE SERVICES LIMITED,04235081,WATFORD,HERTS,,WD17 1HP,Private Limited Company,Active,United Kingdom,82990 - Other business support service activities n.e.c.,,,
Arthur J Gallagher (UK) Ltd (Stackhouse South Woodham Ferrers),01193013,ARTHUR J. GALLAGHER INSURANCE BROKERS LIMITED,ARTHUR J. GALLAGHER (UK) LIMITED,01193013,LONDON,,,EC4N 8AW,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
David Roberts & Partners (York) Ltd,01329408,DAVID ROBERTS & PARTNERS (INSURANCE BROKERS) LIMITED,DAVID ROBERTS & PARTNERS (INSURANCE BROKERS) LIMITED,01329408,SOUTHPORT,MERSEYSIDE,,PR9 9YF,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Horner Blakey Ltd (Hedron Network),05630996,HORNER BLAKEY LIMITED,HORNER BLAKEY LIMITED,05630996,LONDON,,UNITED KINGDOM,EC3M 6BQ,Private Limited Company,Active,United Kingdom,82990 - Other business support service activities n.e.c.,,,
Schofield Insurance Brokers Ltd (Premier),04664567,SCHOFIELD INSURANCE BROKERS LIMITED,SCHOFIELD INSURANCE BROKERS LIMITED,04664567,LEEDS,,ENGLAND,LS5 3BF,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
Consort Insurance Limited,08037122,CONSORT INSURANCE LIMITED,CONSORT INSURANCE LIMITED,08037122,LOUGHTON,ESSEX,,IG10 4PL,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
Blackford Group Ltd,SC616744,CENTURY INSURANCE BROKER CO LTD (REPRESENTATIVE OFFICE),BLACKFORD GROUP LIMITED,SC616744,EDINBURGH,,SCOTLAND,EH2 4ET,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
Daines Kapp Insurance Brokers Ltd (Cleo),02367306,DAINES KAPP INSURANCE BROKERS LIMITED,DAINES KAPP INSURANCE BROKERS LIMITED,02367306,WARE,HERTFORDSHIRE,,SG12 9DZ,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Towergate (Manchester),04043759,ARDONAGH ADVISORY HOLDINGS LIMITED,ADVISORY INSURANCE BROKERS LIMITED,04043759,LONDON,,UNITED KINGDOM,EC3R 7PD,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,65202 - Non-life reinsurance,66220 - Activities of insurance agents and brokers,
Cover-Rule Limited t/a Ascott Insurance (Advantage),02395085,ACCREDITED INSURANCE (EUROPE) LIMITED - UK BRANCH,COVER-RULE LIMITED,02395085,MANCHESTER,,,M2 4AD,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
